Sub,ScriptNumber,LineKey,Color,Actor,AnimState,DotAnim,TextType,KorText,EngText,NextLineKey,DeathNote,AfterScript,Exeption
2,46,31,0,Dot,,anim_default,text,"마주 안고, 끝내 모래알처럼\n흩어지게 할 무언가에 말이야.","Embrace us, but then shatter us into sand.",32,,,
2,46,32,0,Dot,,anim_default,text,이렇게 작고 새까만 나도\n바다에 안길 수 있을까?,Do you think the sea would\ntake me… Even as I am?,37,,,
2,46,33,0,Dot,,anim_default,text,"그런 강렬한 마음이 아직 너에게 찾아간 적이\n없다니. 그건 소소한 불행이야, <nickname>.",I see that impulse has yet to\nfind you. That is a misfortune.,34,,,
2,46,34,0,Dot,,anim_default,text,마음이 치닫는 것은 쉽게 오지 않는\n기회거든. 나는 그런 기회를 누리고 싶어.,Such a crescendo of the mind is hard\nto come by. I want to experience it.,35,,,
2,46,35,0,Dot,,anim_default,text,"눈부시지만, 나를 끝내 모래알처럼\n흩어지게 할 무언가에 뛰어들고 싶다는 것.",The urge to throw myself headfirst into\nwhat would shatter me into sand.,36,,,
2,46,36,0,Dot,,anim_default,text,이렇게 작고 새까만 나도\n바다에 안길 수 있을까?,Do you think the sea would\ntake me… Even as I am?,37,,,
2,46,37,0,Player,,anim_default,text,아마 그럴 거야. 바다의\n품은 아주 넓으니까.,I would think so. The sea\ndoesn’t discriminate.,38,,,
2,46,38,0,Dot,,anim_default,text,"<nickname>, 바다로 날아갈\n수도 있을 듯한 기분이야!","<nickname>, I could just soar\nacross an entire ocean!",39,,,
2,46,39,0,Dot,,anim_default,text,나를 흩어지게 하는 게 달콤한\n향이 나는 사탕 바구니나,If a sweet smelling candy basket or\nthe nightmare of an extinct creature,40,,,
2,46,40,0,Dot,,anim_default,text,멸종된 동물의 악몽이었다면\n이렇게 기쁘지는 않았을 거야!,were to scatter me I wouldn’t\nbe nearly as joyful!,41,,,
2,46,41,0,Dot,,anim_default,text,"파도에 휩쓸리면 바다는 나를 부드럽게 안고, 강렬하게 찢어 발기겠지.","The sea would tenderly carry me away,\nthen rip me apart without hesitation.",42,,,
2,46,42,0,Dot,,anim_default,text,그 거대한 아름다움을 만끽하는 것—\n그건 내가 진정으로 바라던 것일지 몰라.,"To relish such beauty — perhaps\nthat’s what I want, deep down…",43,,,
2,46,43,0,Player,,anim_default,text,뭉치를 말린다.|생각을 이어가도록 둔다.,(Talk Dot down)|(Let Dot go on.),44|48,,,
2,46,44,0,Player,,anim_default,text,"하지만 뭉치, 그 길은 위험해보여.","But Dot, the road seems dangerous.",45,,,
2,46,45,0,Dot,,anim_default,text,그래 맞아. 쉽지만은 않은 일이야.\n그러려면 널 떠나야 하니까.,You’re right. It won’t be\neasy. I’d have to leave you.,46,,,
2,46,46,0,Dot,,anim_default,text,과묵하지만 따뜻한 친구였던 빵 곰팡이와,"And say goodbye to my silent\nbut kind companion, the mold",47,,,
2,46,47,0,Dot,,anim_default,text,제멋대로 흩어진 그의\n포자들에게도 작별을 해야 하지.,as well as its many spores scattered\nhere there and everywhere.,52,,,
2,46,48,0,Dot,,anim_default,text,그래. 어쩌면 잊지 못할\n경험이 될 수도 있겠어.,Yes. Perhaps it will be an\nunforgettable experience.,49,,,
2,46,49,0,Dot,,anim_default,text,…. 하지만 그러려면 널 떠나야 할 거야.,But then I’d have to leave you.,50,,,
2,46,50,0,Dot,,anim_default,text,과묵하지만 따뜻한 친구였던 빵 곰팡이와,"And say goodbye to my silent\nbut kind companion, the mold,",51,,,
2,46,51,0,Dot,,anim_default,text,제멋대로 흩어진 그의\n포자들에게도 작별을 해야 하지.,as well as its many spores scattered\nhere there and everywhere.,52,,,
2,46,52,0,Player,,anim_default,text,(조심스럽게 안심한다.),(Feel relieved.),53,,,
2,46,53,0,Dot,,anim_default,text,무엇보다 아직 꿈이 되지 못했으니…,"Besides, I’ve yet to become a dream…",54,,,
2,46,54,0,Dot,,anim_default,text,"꿈이 되고 나서는, 마음껏 바다의 품에\n안길 수 있을 것 같다는 생각이 들어.","When I become one, I think I’d be quite\ncontent to run into the sea’s arms.",55,,,
2,46,55,0,Dot,,anim_default,text,난 끝없이 파도치는 꿈이 될 거야.,"I’ll be a dream, dreaming\none never-ending dream.",56,,,
2,46,56,0,Dot,,anim_default,text,눈을 감고… 두둥실 떠오르겠지. 그때의\n나는 분명 바다를 닮아 있을 거야.,"I’ll close my eyes and soon I’ll\nbe floating - up, up, and away.",,,,
3,47,57,0,Dot,,anim_default,text,"<nickname>, <nickname>. 어제 하루 종일 팀\n버튼의 <크리스마스의 악몽>을 봤어!",I spent all day watching Tim Burton’s\n“The Night Before Christmas” yesterday!,58,,,
3,47,58,0,Dot,,anim_default,text,"한 숨도 쉬지 않고, 눈을 최대한\n적게 깜빡이려 노력하며","I didn’t dare breathe, I didn’t dare blink,",59,,,
3,47,59,0,Dot,,anim_default,text,"계속, 계속, 계속 봤어.","and I watched, and watched, and watched.",60,,,
3,47,60,0,Dot,,anim_default,text,모든 것이 끝났다는\n검은 화면이 뜰 때까지.,Until the black screen signaled the end.,61,,,
3,47,61,0,Dot,,anim_default,text,………,………,62,,,
3,47,62,0,Dot,,anim_default,text,………,………,63,,,
3,47,63,0,Dot,,anim_default,text,………,………,64,,,
3,47,64,0,Dot,,anim_default,text,"세상에, 멋있어. 강렬해!","My, it’s stunning. It’s intense!",65,,,
3,47,65,0,Dot,,anim_default,text,세상엔 폼 나는 검정도\n있다는 걸 배웠어.,I never knew black could be so cool.,66,,,
3,47,66,0,Dot,,anim_default,text,그런데.,But.,67,,,
3,47,67,0,Dot,,anim_default,text,"나의 검정은 왜…. 왜 이럴까, <nickname>?","Why… why is my black like this, <nickname>?",68,,,
3,47,68,0,Dot,,anim_default,text,볼품없어.,It’s ugly.,69,,,
3,47,69,0,Dot,,anim_default,text,… 볼품없어.,… It’s ugly.,,,,
4,48,70,0,Dot,,anim_default,text,“듣지 않는 상대와 함께 있는 건\n혼자일 때보다 더 외로운 일이다.”,“Being with people who don’t\nlisten is lonelier than being alone.”,71,,,
4,48,71,0,Dot,,anim_default,text,…,…,72,,,
4,48,72,0,Dot,,anim_default,text,놀랍도록 철학적이지 않아?,Isn’t that wonderfully profound?,73,,,
4,48,73,0,Dot,,anim_default,text,…,…,74,,,
4,48,74,0,Dot,,anim_default,text,"그래, 뭐, 꼭 내가 좋아한다고\n좋아할 필요는 없어.","Okay, well, you don’t have\nto like it because I like it.",75,,,
4,48,75,0,Dot,,anim_default,text,"듣지 않는 상대와 함께 있는 건 혼자일\n때보다 외로운 게 확실해, 그렇지?","Being with people who don’t listen\nis lonelier than being alone, isn’t it?",76,,,
4,48,76,0,Dot,,anim_default,text,…,…,77,,,
4,48,77,0,Dot,,anim_default,text,"그래, 오직 <nickname> 한 명과\n이야기를 나눠 본 난 확답을 줄 수 없겠지만.","Fine, I’ve only ever talked to\n<nickname>, so I don’t really know.",78,,,
4,48,78,0,Dot,,anim_default,text,그렇지만 분명 그럴\n거야. 외로울 거야.,"But it must be. Lonely, I mean.",79,,,
4,48,79,0,Dot,,anim_default,text,혼자 있을 때면 난 마음을 풀어\n헤치고 상상 속을 거닐어.,"When I’m alone, I let my mind wander.",80,,,
4,48,80,0,Dot,,anim_default,text,"비 대신 반짝이가 내리는 낯선\n행성으로 여행을 떠나기도 하고,","I travel to foreign planets\nwhere it rains glitter,",81,,,
4,48,81,0,Dot,,anim_default,text,"심해 아귀와의 깜깜한 담소를 즐기기도 하고,\n1880년대의 어린 소녀가 되어 보기도 해.","chat with anglerfish in the deep dark ocean, and live as a little girl in the 1880s.",82,,,
4,48,82,0,Dot,,anim_default,text,"그리고 <nickname>과 함께일 때면,\n<nickname>만은 내 말을 들어줘.","And when I’m with <nickname>, they listen.",83,,,
4,48,83,0,Dot,,anim_default,text,"내 사색, 질문, 고해, 그 모든 걸.","They listen to my musings,\nquestions, and confessions, all of it.",84,,,
4,48,84,0,Dot,,anim_default,text,그렇지만 듣지 않는 상대는 어떨까?,But to be with someone who doesn’t listen?,85,,,
4,48,85,0,Dot,,anim_default,text,꼭 벽이랑 대화하는 기분일 거야.,"It must feel as if you’re talking to a wall,",86,,,
4,48,86,0,Dot,,anim_default,text,아니면 스치는 바람과 대화하는 기분.,or a gust of wind passing by.,87,,,
4,48,87,0,Dot,,anim_default,text,바쁜 도시 한가운데 유리 상자\n속 갇혀있는 기분일 거야.,"It must feel as if you are locked in a\nglass box in the middle of a busy city,",88,,,
4,48,88,0,Dot,,anim_default,text,"날카롭고 간절하게 소리치며 벽을 긁어\n보지만, 아무도 내 비명을 듣지 못하는.",where you’re screaming and\nscreaming but no one ever hears you.,89,,,
4,48,89,0,Dot,,anim_default,text,…,…,90,,,
4,48,90,0,Dot,,anim_default,text,난 절대 너를 외롭게 두지 않아.,I would never do that to you.,91,,,
4,48,91,0,Dot,,anim_default,text,알고 있지?,"You know that, right?",92,,,
4,48,92,0,Dot,,anim_default,text,…,…,93,,,
4,48,93,0,Dot,,anim_default,text,난 언제나 들을 준비가\n되어 있으니까.,I’m always ready to listen.,94,,,
4,48,94,0,Dot,,anim_default,text,…,…,95,,,
4,48,95,0,Dot,,anim_default,text,여기서 기다리고 있을게.,"I’ll be right here, waiting.",96,,,
4,48,96,0,Dot,,anim_default,text,네가 포자 흩뿌리는 소리밖에 못\n낼지라도. 나는 듣고 있을 거야.,"Even if the only sound you make is the\nsound of your spores, fluttering mid-air.",,,,
